geonum,hawpi_nh_index,pop
1080410055013.0,55.65215547470851,1342.0
1080310041036.0,28.44066742081448,910.0
1080050076002.0,66.1959639095813,1374.0
1080039602006.0,37.59952642073779,1121.0
1080690016021.0,17.84213452136887,746.0
1080010091042.0,11.320850219002006,2874.0
1080050077042.0,22.500776991294444,1446.0
1080519637002.0,11.21935294117647,1450.0
1080770005002.0,21.462707749766576,2205.0
1080310120012.0,11.073404619751395,601.0
1080010085421.0,23.344902081373757,4878.0
1080410062002.0,11.361700685395796,1562.0
1080310155003.0,24.29428674960744,974.0
1080770008002.0,48.75884267608765,2381.0
1080310003031.0,38.157052020096295,562.0
1080050803004.0,59.26434158362798,549.0
1080410020002.0,17.315117079889806,2178.0
1080410077003.0,12.164233511586453,1155.0
1080310068122.0,13.989733704292528,1110.0
1081230010042.0,11.926731499051233,2604.0
1080870007002.0,10.986223529411765,1750.0
1081230020161.0,10.035818485321334,3242.0
1080050071061.0,14.41941838235294,2000.0
1080410029001.0,25.760984583857297,1263.0
1080410044031.0,15.256373497174499,1551.0
1080770004001.0,19.15692624199939,772.0
1080310032012.0,14.144172780053106,1307.0
1081230014151.0,20.348188151856487,3525.0
1080050828003.0,44.89699548215757,1927.0
1080410045082.0,177.55266867569202,3211.0
1080810006002.0,26.510634932590193,781.0
1080739617001.0,23.639940950804874,782.0
1080010095531.0,12.592739079790332,2525.0
1080050815001.0,10.439397923875433,1275.0
1080010602001.0,10.07903971761577,3008.0
1080050822003.0,18.38429883002925,2534.0
1080050826002.0,14.844815115506679,797.0
1080590098312.0,17.73407895861833,1376.0
1080350141071.0,13.679581041049513,1946.0
1080690011041.0,16.64039050219244,711.0
1080010093262.0,22.802649650168437,1135.0
1080410045031.0,11.015687983592803,6310.0
1080410045062.0,77.60516588034531,1172.0
1080410072011.0,10.516103620874755,4219.0
1080410038022.0,12.516856234681372,4608.0
1080050849001.0,21.100558581073518,1577.0
1080050067131.0,17.24946556891633,1629.0
1080130133024.0,22.195402378961063,633.0
1080350139011.0,35.92505358418671,1235.0
1080859663001.0,67.70934798015591,415.0
1080410029003.0,17.132073925374783,1597.0
1080410045072.0,21.718327848621964,715.0
1080310083861.0,49.154679530771844,2768.0
1080310068141.0,37.576780185758516,551.0
1080050832001.0,10.414892294946148,1633.0
1080410040081.0,10.381660347610646,3134.0
1080050863002.0,11.659493531852574,2410.0
1080410041001.0,13.231598851196921,1956.0
1080410033081.0,32.188143598615916,2550.0
1080010082001.0,11.13549941344059,2457.0
1080590120372.0,14.684259491030454,705.0
1081170002003.0,64.40435009487666,1240.0
1080050828004.0,40.23162964859502,919.0
1080639621004.0,11.53834404182297,1474.0
1080010092043.0,12.533175473579263,2183.0
1080410039062.0,13.160531309297912,899.0
1080770018002.0,10.491733157508179,1762.0
1080050071072.0,11.178334200194625,3506.0
1080050824003.0,50.267226139113966,559.0
1080410047032.0,29.025428807036832,535.0
1080310002023.0,11.940487821426148,867.0
1080490002023.0,37.1275658380507,1673.0
1080050860001.0,13.391747336729967,2540.0
1080310048012.0,158.35415588797662,1569.0
1080859663002.0,53.0030620115179,572.0
1080130125113.0,11.113829491950574,2861.0
1080410047052.0,33.330337865989925,1553.0
1081039511001.0,16.053348232101524,737.0
1080050056352.0,15.421425504508372,959.0
1080010083093.0,37.85317401960784,1680.0
1080410045012.0,11.079817014753784,1535.0
1080050865002.0,30.563445968274948,2492.0
1080050820001.0,59.831611545032956,1928.0
